datetime,trashamount
2026-04-24T12:57:15.587127+00:00,0
2026-04-24T12:57:15.591795+00:00,2
2026-04-24T12:57:15.595925+00:00,2
2026-04-27T17:50:04.707645+00:00,29
2026-04-27T17:50:35.689870+00:00,33
2026-04-27T17:51:04.326402+00:00,35
2026-04-27T17:51:33.532968+00:00,4
2026-04-27T17:52:02.144697+00:00,3
2026-04-27T17:52:31.436963+00:00,38
2026-04-27T17:53:00.355258+00:00,33
2026-04-27T17:53:29.168659+00:00,0
2026-04-27T17:53:58.460516+00:00,0
2026-04-27T17:54:27.683904+00:00,0
2026-04-27T17:54:59.698392+00:00,3
2026-04-27T17:55:39.552073+00:00,0
2026-04-27T17:56:15.641899+00:00,0
2026-04-27T17:56:51.139388+00:00,7
2026-04-27T17:57:27.140446+00:00,14
2026-04-27T17:58:01.950232+00:00,11
2026-04-27T17:50:04.707645+00:00,46
2026-04-27T17:50:35.689870+00:00,46
2026-04-27T17:51:04.326402+00:00,33
2026-04-27T17:51:33.532968+00:00,4
2026-04-27T17:52:02.144697+00:00,10
2026-04-27T17:52:31.436963+00:00,48
2026-04-27T17:53:00.355258+00:00,49
2026-04-27T17:53:29.168659+00:00,0
2026-04-27T17:53:58.460516+00:00,0
2026-04-27T17:54:27.683904+00:00,0
2026-04-27T17:54:59.698392+00:00,7
2026-04-27T17:55:39.552073+00:00,0
2026-04-27T17:56:15.641899+00:00,0
2026-04-27T17:56:51.139388+00:00,10
2026-04-27T17:57:27.140446+00:00,17
2026-04-27T17:58:01.950232+00:00,14
2026-04-27T17:50:04.707645+00:00,55
2026-04-27T17:50:35.689870+00:00,67
2026-04-27T17:51:04.326402+00:00,64
2026-04-27T17:51:33.532968+00:00,10
2026-04-27T17:52:02.144697+00:00,20
2026-04-27T17:52:31.436963+00:00,74
2026-04-27T17:53:00.355258+00:00,81
2026-04-27T17:53:29.168659+00:00,0
2026-04-27T17:53:58.460516+00:00,0
2026-04-27T17:54:27.683904+00:00,0
2026-04-27T17:54:59.698392+00:00,11
2026-04-27T17:55:39.552073+00:00,0
2026-04-27T17:56:15.641899+00:00,0
2026-04-27T17:56:51.139388+00:00,12
2026-04-27T17:57:27.140446+00:00,31
2026-04-27T17:58:01.950232+00:00,20
2026-04-27T17:50:04.707645+00:00,45
2026-04-27T17:50:35.689870+00:00,58
2026-04-27T17:51:04.326402+00:00,57
2026-04-27T17:51:33.532968+00:00,10
2026-04-27T17:52:02.144697+00:00,17
2026-04-27T17:52:31.436963+00:00,65
2026-04-27T17:53:00.355258+00:00,70
2026-04-27T17:53:29.168659+00:00,0
2026-04-27T17:53:58.460516+00:00,0
2026-04-27T17:54:27.683904+00:00,0
2026-04-27T17:54:59.698392+00:00,10
2026-04-27T17:55:39.552073+00:00,0
2026-04-27T17:56:15.641899+00:00,0
2026-04-27T17:56:51.139388+00:00,13
2026-04-27T17:57:27.140446+00:00,27
2026-04-27T17:58:01.950232+00:00,19
